Id,Season,Week,Neutral_Site,Conference_Game,Attendance,Venue_Id,Home_Id,Home_Team,Home_Conference,Home_Division,Home_Points,Home_1_Q_P,Home_2_Q_P,Home_3_Q_P,Home_4_Q_P,Away_Id,Away_Team,Away_Conference,Away_Division,Away_Points,Away_1_Q_P,Away_2_Q_P,Away_3_Q_P,Away_4_Q_P
401525490,2023,2,FALSE,FALSE,40122,3615,103,Boston College,ACC,fbs,31,7,17,0,7,107,Holy Cross,Patriot,fcs,28,0,14,7,7
401523999,2023,2,FALSE,FALSE,43732,4727,239,Baylor,Big 12,fbs,13,0,10,3,0,254,Utah,Pac-12,fbs,20,0,3,3,14
401525829,2023,2,FALSE,FALSE,51940,3636,2306,Kansas State,Big 12,fbs,42,7,14,7,14,2653,Troy,Sun Belt,fbs,13,0,10,0,3
401520188,2023,2,FALSE,FALSE,53241,3726,38,Colorado,Pac-12,fbs,36,0,13,10,13,158,Nebraska,Big Ten,fbs,14,0,0,7,7
401520215,2023,2,FALSE,FALSE,65632,3799,259,Virginia Tech,ACC,fbs,17,0,17,0,0,2509,Purdue,Big Ten,fbs,24,7,10,0,7
401525498,2023,2,FALSE,FALSE,56508,3923,258,Virginia,ACC,fbs,35,7,7,21,0,256,James Madison,Sun Belt,fbs,36,17,0,7,12
401525436,2023,2,FALSE,FALSE,56919,3670,152,NC State,ACC,fbs,24,0,7,10,7,87,Notre Dame,FBS Independents,fbs,45,3,14,7,21
401525494,2023,2,FALSE,FALSE,31452,721,59,Georgia Tech,ACC,fbs,48,14,14,17,3,2569,South Carolina State,MEAC,fcs,13,0,6,7,0
401532396,2023,2,FALSE,FALSE,17302,3786,2117,Central Michigan,Mid-American,fbs,45,7,21,7,10,160,New Hampshire,CAA,fcs,42,7,14,7,14
401532400,2023,2,FALSE,FALSE,12312,3700,189,Bowling Green,Mid-American,fbs,38,7,14,10,7,2197,Eastern Illinois,Big South-OVC,fcs,15,6,6,0,3
401525491,2023,2,FALSE,FALSE,81500,3836,228,Clemson,ACC,fbs,66,14,10,28,14,2127,Charleston Southern,Big South-OVC,fcs,17,14,3,0,0
401525828,2023,2,FALSE,FALSE,60834,3801,252,BYU,Big 12,fbs,41,6,21,7,7,253,Southern Utah,UAC,fcs,16,3,0,7,6
401520196,2023,2,FALSE,FALSE,61876,3683,96,Kentucky,SEC,fbs,28,0,7,14,7,2198,Eastern Kentucky,UAC,fcs,17,7,0,3,7
401520194,2023,2,FALSE,FALSE,61500,3772,66,Iowa State,Big 12,fbs,13,0,3,0,10,2294,Iowa,Big Ten,fbs,20,3,14,3,0
401531395,2023,2,FALSE,FALSE,49342,3604,2636,UT San Antonio,American Athletic,fbs,20,3,7,7,3,326,Texas State,Sun Belt,fbs,13,0,10,0,3
401526833,2023,2,FALSE,FALSE,9207,3985,113,UMass,FBS Independents,fbs,28,0,7,14,7,193,Miami (OH),Mid-American,fbs,41,21,7,3,10
401525497,2023,2,FALSE,FALSE,32637,1964,183,Syracuse,ACC,fbs,48,17,28,3,0,2711,Western Michigan,Mid-American,fbs,7,7,0,0,0
401520207,2023,2,FALSE,FALSE,14851,3911,77,Northwestern,Big Ten,fbs,38,7,0,21,10,2638,UTEP,Conference USA,fbs,7,7,0,0,0
401520201,2023,2,FALSE,FALSE,48792,3948,2390,Miami,ACC,fbs,48,7,14,10,17,245,Texas A&M,SEC,fbs,33,10,7,9,7
